Nome do País;Número de Casos;Mortes;Recuperados;Casos Ativos
Estados Unidos da América;105.345.992;1.146.142;102.747.004;1.452.846
Índia;44.686.879;530.772;44.153.668;2.439
França;39.626.756;164.988;39.390.773;70.995
Alemanha;38.189.954;168.175;37.729.600;292.179
Brasil;37.063.464;699.197;36.241.001;123.266
Japão;33.230.544;72.573;21.687.770;11.470.201
Coreia do Sul;30.533.573;34.003;30.316.211;183.359
Itália;25.576.852;188.094;25.219.653;169.105
Reino Unido;24.341.615;206.246;24.094.535;40.834
Rússia;22.300.004;396.176;21.645.346;258.482
Turquia;17.042.722;101.492;0;16.941.230
Espanha;13.763.336;119.380;13.607.068;36.888
Vietnã;11.526.937;43.186;10.614.783;868.968
Austrália;11.366.361;19.373;11.314.814;32.174
Taiwan;10.069.539;18.010;9.755.633;295.896
Argentina;10.044.125;130.463;9.909.866;3.796
Países Baixos;8.596.296;22.992;8.559.002;14.302
Irã;7.569.261;144.864;7.339.518;84.879
México;7.451.429;332.988;6.690.914;427.527
Indonésia;6.736.576;160.920;6.572.098;3.558
Polónia;6.425.500;118.924;5.335.940;970.636
Colômbia;6.360.089;142.629;6.183.658;33.802
Áustria;5.926.148;21.899;5.845.030;59.219
Grécia;5.871.458;36.185;5.806.578;28.695
Portugal;5.568.084;26.180;5.537.727;4.177
Ucrânia;5.389.439;111.235;5.265.637;12.567
Chile;5.169.139;64.177;5.099.538;5.424
Malásia;5.043.008;36.960;4.996.818;9.230
Israel;4.799.640;12.292;4.781.252;6.096
N. Korea;4.772.813;74;4.772.739;0
Tailândia;4.728.035;33.911;4.692.636;1.488
Bélgica;4.717.655;33.717;4.660.013;23.925
Chéquia;4.611.985;42.446;4.558.503;11.036
Canadá;4.591.149;51.249;4.502.066;37.834
Peru;4.486.282;219.448;4.264.923;1.911
Suiça;4.391.007;14.452;4.373.026;3.529
Filipinas;4.076.570;66.126;4.001.136;9.308
África do Sul;4.063.863;102.595;3.912.506;48.762
Roménia;3.340.342;67.704;3.263.301;9.337
Dinamarca;3.175.332;8.272;3.166.156;904
Hong Kong;2.883.528;13.460;2.851.147;18.921
Suécia;2.698.535;23.703;2.671.071;3.761
Sérvia;2.492.563;17.826;2.461.477;13.260
Iraque;2.465.545;25.375;2.439.497;673
Singapura;2.222.006;1.722;2.149.583;70.701
Nova Zelândia;2.216.852;3.904;2.205.354;7.594
Hungria;2.195.926;48.751;2.143.184;3.991
Bangladesh;2.037.829;29.445;1.998.448;9.936
Eslováquia;1.863.115;21.026;1.840.899;1.190
Georgia;1.825.598;16.965;1.776.548;32.085
Jordânia;1.746.997;14.122;1.731.007;1.868
Irlanda;1.703.850;8.691;1.692.126;3.033
Paquistão;1.577.031;30.643;1.538.689;7.699
Noruega;1.479.087;5.175;1.473.220;692
Finlândia;1.462.976;8.936;1.451.956;2.084
Cazaquistão;1.408.038;13.846;1.383.020;11.172
Eslovénia;1.329.079;7.071;1.317.563;4.445
Lituânia;1.305.543;9.589;1.290.063;5.891
Bulgária;1.296.853;38.217;1.255.662;2.974
Marrocos;1.272.459;16.296;1.256.097;66
Croácia;1.268.992;17.971;1.250.549;472
Guatemala;1.236.778;20.176;1.215.452;1.150
Líbano;1.232.063;10.832;1.087.587;133.644
Costa Rica;1.204.164;9.230;860.711;334.223
Bolívia;1.193.256;22.365;1.158.072;12.819
Tunísia;1.150.962;29.331;0;1.121.631
Cuba;1.112.603;8.530;1.103.980;93
Equador;1.057.121;36.014;1.020.564;543
Emirados Árabes Unidos;1.052.247;2.349;1.035.365;14.533
Uruguai;1.034.303;7.617;1.026.186;500
Panamá;1.031.273;8.604;1.022.299;370
Mongólia;1.007.897;2.179;1.005.711;7
Nepal;1.001.149;12.020;989.120;9
Bielorússia;994.037;7.118;985.592;1.327
Letônia;976.051;6.242;969.485;324
Arábia Saudita;829.624;9.617;816.815;3.192
Azerbaijão;828.588;10.119;818.310;159
Paraguai;808.327;19.870;0;788.457
Bahrain;707.828;1.549;706.013;266
Sri Lanka;672.031;16.830;655.199;2
Kuwait;663.456;2.570;660.237;649
República Dominicana;660.705;4.384;644.785;11.536
República Turca do Chipre do Norte;649.093;1.305;642.855;4.933
Myanmar;633.925;19.490;614.400;35
Territórios palestinianos e Gaza;621.008;5.404;615.445;159
Estônia;615.119;2.940;524.990;87.189
Moldávia;607.450;11.988;504.142;91.320
Venezuela;551.986;5.854;545.878;254
Egito;515.698;24.613;442.182;48.903
Líbia;507.174;6.437;500.734;3
China;503.302;5.272;379.053;118.977
Etiópia;499.986;7.572;487.246;5.168
Qatar;494.377;686;493.225;466
Reunião;486.588;921;418.572;67.095
Honduras;472.116;11.111;0;461.005
Armênia;446.819;8.721;435.162;2.936
Bósnia e Herzegovina;401.636;16.279;379.084;6.273
Omã;399.449;4.628;384.669;10.152
Macedónia do Norte;346.852;9.662;337.068;122
Zâmbia;343.012;4.057;338.660;295
Quénia;342.919;5.688;337.216;15
Albânia;334.408;3.596;329.152;1.660
Botsuana;329.727;2.801;326.868;58
Luxemburgo;297.757;1.133;288.991;7.633
Montenegro;288.361;2.804;284.815;742
Brunei;278.698;225;243.601;34.872
Algéria;271.448;6.881;182.794;81.773
Nigéria;266.598;3.155;259.917;3.526
Zimbabué;264.127;5.668;257.839;620
Uzbequistão;251.071;1.637;241.486;7.948
Moçambique;233.098;2.242;228.805;2.051
Martinique;229.807;1.098;0;228.709
Laos;218.017;758;0;217.259
Afeganistão;209.358;7.896;191.161;10.301
Islândia;209.093;229;0;208.864
Quirguistão;206.673;2.991;196.406;7.276
Guadalupe;201.852;1.010;0;200.842
El Salvador;201.785;4.230;179.410;18.145
Trinidad e Tobago;189.296;4.347;184.553;396
Maldivas;185.732;311;163.687;21.734
Gana;171.172;1.462;169.697;13
Namíbia;171.156;4.090;166.776;290
Uganda;170.504;3.630;100.431;66.443
Jamaica;154.196;3.502;102.393;48.301
Camboja;138.719;3.056;135.657;6
Ruanda;133.180;1.468;131.634;78
Camarões;124.392;1.965;122.344;83
Malta;117.477;827;116.028;622
Barbados;106.645;575;106.057;13
Angola;105.277;1.933;103.317;27
Ilhas do canal;101.382;227;101.029;126
Guiana francesa;98.041;420;11.254;86.367
RDC;95.749;1.464;84.321;9.964
Senegal;88.921;1.971;86.947;3
Malawi;88.702;2.686;85.580;436
Costa do Marfim;88.208;834;87.342;32
Suriname;82.467;1.404;0;81.063
Nova Caledônia;79.881;314;79.558;9
Polinésia Francesa;77.957;649;0;77.308
Suazilândia;74.199;1.423;72.726;50
Guiana;73.069;1.298;71.752;19
Belize;70.757;688;70.056;13
Fiji;68.889;883;66.850;1.156
Madagáscar;67.865;1.422;66.433;10
Sudão;63.809;5.013;58.460;336
Mauritânia;63.668;997;62.441;230
Cabo Verde;63.244;413;62.773;58
Butão;62.620;21;61.564;1.035
Síria;57.467;3.164;54.303;0
Burundi;53.631;38;53.569;24
Seicheles;50.665;172;50.440;53
Gabão;48.981;306;48.674;1
Andorra;47.875;165;47.563;147
Papua-Nova Guiné;46.809;670;43.982;2.157
Curacao;45.986;295;44.720;971
Aruba;44.044;236;42.438;1.370
Tanzânia;42.846;846;0;42.000
Mayotte;42.004;188;0;41.816
Maurícia;41.717;1.043;40.012;662
Togo;39.377;290;39.074;13
Guiné;38.267;467;37.757;43
Ilha de man;38.008;116;0;37.892
Bahamas;37.491;833;36.366;292
Lesotho;34.790;723;25.980;8.087
Ilhas Faroé;34.658;28;0;34.630
Haiti;34.143;860;33.044;239
Mali;33.034;743;32.111;180
Ilhas Cayman;31.472;37;8.553;22.882
Santa Lúcia;30.004;409;29.095;500
Benin;27.990;163;27.825;2
Somália;27.324;1.361;13.182;12.781
Congo;25.375;386;24.006;983
Solomon Islands;24.575;153;0;24.422
Micronesia;23.948;61;0;23.887
San Marino;23.583;122;23.276;185
Timor Leste;23.418;138;23.102;178
Burkina Faso;22.056;396;21.596;64
Liechtenstein;21.421;89;21.294;38
Gibraltar;20.423;111;16.579;3.733
Granada;19.680;238;19.358;84
Bermudas;18.814;160;18.638;16
Nicarágua;18.491;225;4.225;14.041
Sudão do Sul;18.368;138;18.115;115
Tajikistan;17.786;125;17.264;397
Guiné Equatorial;17.229;183;16.907;139
Tonga;16.807;13;15.638;1.156
Samoa;16.607;29;1.605;14.973
Mónaco;16.115;67;15.992;56
Dominica;15.760;74;15.673;13
Jibuti;15.690;189;15.427;74
Marshall Islands;15.618;17;15.528;73
República Centro-Africana;15.368;113;15.200;55
Gâmbia;12.586;372;12.189;25
Saint Martin;12.257;63;1.399;10.795
Vanuatu;12.014;14;11.976;24
Groenlândia;11.971;21;2.761;9.189
Iêmen;11.945;2.159;9.124;662
Caraíbas Holanda;11.672;38;10.476;1.158
São Martinho;11.020;91;10.905;24
Eritreia;10.189;103;10.086;0
Níger;9.931;312;8.890;729
São Vicente e Granadinas;9.589;123;9.466;0
Antígua e Barbuda;9.106;146;8.954;6
Comoros;9.001;161;8.838;2
Guiné-Bissau;8.960;176;8.660;124
Libéria;8.090;295;7.783;12
Serra Leoa;7.760;126;0;7.634
Chade;7.678;194;4.874;2.610
Ilhas Virgens Britânicas;7.305;64;0;7.241
Cook Islands;7.028;2;7.012;14
São Cristóvão e Neves;6.596;47;6.547;2
Ilhas Turks e Caicos;6.551;38;6.491;22
São Tomé e Príncipe;6.281;77;6.204;0
Palau;5.989;9;5.976;4
St. Barth;5.439;6;0;5.433
Nauru;5.247;1;5.075;171
Kiribati;5.013;18;2.703;2.292
Anguilla;3.904;12;3.879;13
Macau;3.514;121;3.391;2
Saint Pierre Miquelon;3.452;2;2.449;1.001
Wallis and Futuna;3.427;7;438;2.982
Tuvalu;2.805;0;0;2.805
Saint Helena;2.166;0;2;2.164
Ilhas Falkland (Malvinas);1.930;0;1.930;0
montserrat;1.403;8;1.376;19
Niue;790;0;784;6
Santa Sé;29;0;29;0
Saara Ocidental;10;1;9;0
Tokelau;5;0;0;5
Christmas Island;0;0;0;0
British Indian Ocean Territory;0;1;0;-1
Cocos (Keeling) Islands;0;0;0;0
Bouvet Island;0;0;0;0
American Samoa;0;0;0;0
Antarctica;0;0;0;0
